!Cannot_Add_Group_Folder2		'.  La carpeta puede no ser accesible.
!Cannot_Add_Group_Folder		No se puede agregar el grupo denominado '
!Cannot_Locate_Student_Folder	No se pudo localizar la carpeta del estudiante.  Usando la configuración de invitado.
!Cannot_Read_Group_Folder	No se puede crear carpeta de grupo o escanear las carpetas de usuario para el grupo :
!Cannot_Rename_Group_Folder	No se puede cambiar el nombre de carpeta de grupo a : 
!Cannot_Scan_Group_Folders	No se puede escanear las carpetas de grupo.  Pueden ser inaccesibles.
!Cannot_Add_To_Guest_Group	No se puede agregar usuarios al Grupo de invitados.
!Could_Not_Be_Added		' podría no agregarse.  La ubicación del archivo puede no ser accesible.
!Group_Folder_Inaccessible	No se puede escanear los grupos y los usuarios.  La carpeta raíz puede ser inaccesible.
!Group_Already_Exists		Ya existe un grupo con ese nombre.  Por favor, elija otro nombre.
!Group_Is_Not_Empty		No se puede quitar el grupo porque no está vacío.  Por favor elimine todos los usuarios antes de eliminar el grupo.
!Keyboard_Software_Not_Responding	El software del teclado USB no responde.  Puede no estar en funcionamiento, o puede estar ocupado.  Compruebe que el software se esté ejecutando, y a continuación intente volver a cambiar la configuración.
!Keyboard_Not_Reset		El teclado no se reinició.  Inténtelo de nuevo.
!Root_Folder_Does_Not_Exist	La carpeta raíz no existe.  Compruebe la instalación.
!The_User			El usuario '
!Unable_To_Load_Applications	No se puede cargar las aplicaciones para este usuario.
!Unable_To_Load_The_Settings	No se puede cargar el archivo de configuración para este usuario.
!Unable_To_Locate_Preferences	No se puede encontrar el archivo de preferencias en la carpeta privada.
!Unable_To_Save_Preferences	No se puede escribir el archivo de preferencias.
!Unable_To_Save_The_Settings	No se puede guardar el archivo de configuración para este usuario.
!Unsupported_USB_Keyboard_Message	El software de Intellikeys USB recibió un mensaje no admitido : ID = 
!User_Already_Exists		Ya existe un usuario con ese nombre.  Por favor, elija otro nombre.
!Users_Folder_Does_Not_Exist	La carpeta usuarios no existe.  Compruebe la instalación.
$1				1
$2				2
$3				3
$4				4
$Add			Agregar... 
$Additional_Features	Características Adicionales
$Advanced		&Avanzadas
$App_Not_Allowed	No puede adjuntar overlays a esta aplicación desde el panel de control de IntelliKeys USB ya que la aplicación está diseñada para enviar sus propias overlays. Consulte la Guía del usuario de esta aplicación sobre cómo adjuntar overlays.
$App_Not_Found	no se encontró
$App_Tab_Unavailable_Body	La pestaña Aplicaciones no está disponible en esta versión.
$App_Tab_Unavailable_Title	Característica no disponible
$Application	Aplicación
$Application_Details	Detalles de la aplicación
$Application_Find_Dialog_Title		Encontrar aplicación
$Application_Find_Dialog_Prompt		Seleccionar la aplicación deseada
$Applications		Aplicaciones 
$Available_Applications_Form_Title	Aplicaciones disponibles
$Attach			Adjuntar... 
$Browse			Examinar... 
$Browse...		&Buscar...
$Browse_For_Application_Dialog_Title	Localizar aplicación 
$Browse_For_Application_Dialog_Prompt	Seleccionar la aplicación deseada 
$Cancel					Cancelar
$Cannot_Edit_Overlay	No puede editar este archivo porque es un overlay de sólo contenido o de grupo.  
$Choose			Elegir...  
$Choose_App_Header	Seleccionar una aplicación. 
$Clear			&Borrar
$Column_=			Columna =
$Confirm_Delete			Confirmar eliminación
$Connected		Conectado
$Connected_:		Conectado :
$Custom	  ;  los siguientes son para la pestaña Aplicaciones.			  
$Data_Send_Rate:		Velocidad de Transferencia de Datos:
$Data_Send_Rate_=		Velocidad de Transferencia de Datos =
$Delete_Empty_Group		¿Eliminar grupo vacío?
$Detach			Separar 
$Device:				Dispositivo:
$Device_Status		Estado del dispositivo
$DiscoverNameMac		Descubrir enviado
$DiscoverNameWin		DiscoverPro
$Display_Features...	Ver Características...
$Display_Latching		Mantener efecto
$Display_Locking		Bloqueo
$Display_No_Latching		Sin efecto
$Done			&Hecho
$Edit			Editar... 
$Edit_Groups_And_Users	&Editar grupos y usuarios...
$Edit_Template_Overlay	Este archivo es una plantilla de overlay.  Editará una copia del archivo, y tendrá que adjuntar el archivo después de guardarlo.  
$False			Falso
$Find		Buscar...  
$Firmware_Version_:	Versión de Firmware :
$Firmware_Version_=		Versión de Firmware =
$Group:			Grupo:
$Group_Delete					&Eliminar
$Group_Must_Be_Empty		El grupo debe estar vacío antes de que pueda ser eliminado.  Por favor elimine todos los usuarios en este grupo antes de eliminar el grupo.
$Group_Name				Nombre del grupo
$Group_Name:			Nombre del grupo:
$Group_New...					&Nuevo...
$Group_Rename...				&Renombrar...
$Groups					Grupos
$Groups_and_Users		Grupos y usuarios
$Guest				Invitado
$Has_these_overlays	... el Panel de Control ... 
$Help...		&Ayuda...
$IKOff		IntelliKeys desactivadas  
$IKOn		IntelliKeys encendido 
$ISOff		IntelliSwitch apagado  
$ISOn		IntelliSwitch encendido 
$In_Group			en el grupo
$Indicator_Lights	Efecto Tecla Mayús
$Indicator_Lights_=		Indicadores luminosos =
$IntelliKeys_USB		IntelliKeys USB
$IntelliKeys_USB_Features_For_User	Funciones de IntelliKeys USB para el usuario
$IntelliKeys_USB_Window_Title	Panel de Control de IntelliKeys USB 
$IntelliKeys_USB_Window_Title2	Panel de Control de IntelliKeys USB y de IntelliSwitch 
$IntelliSwitchFeaturesNotice	NOTA: Los usuarios de IntelliSwitch pueden ajustar la velocidad de repetición, repetición activada/desactivada, velocidad del ratón, sonido de teclas y velocidad de transferencia de datos. 
$Invalid_Preference		Valor no válido para la preferencia del usuario. Uso
$Is_Empty_Delete		está vacía.  ¿Desea eliminar este grupo?
$Is_Located	la ruta de acceso es
$Keyboard_Number_=		Teclado número =
$Keyboard_Reset		Reconfigurar Teclado
$Keysound_Volume	Volumen Sonido Teclas
$Keysound_Volume_=	Volumen Sonido Teclas =
$Language_:		Idioma :
$Last_Saved_Group_Missing	El último grupo guardado no existe.  Uso
$Last_Saved_User_Missing	El último usuario guardado no existe.  Uso
$Last_Sent			último enviado
$Last_Sent_Note		Nota: Utilice la pestaña Aplicaciones para adjuntar overlays a las aplicaciones  
$Last_Sent_Overlay_:	Última overlay enviada :
$Last_Sent_Overlay_=		Última overlay enviada =
$Latching		Mant&ener Efecto
$Latching2		Mantener Efecto
$Locking		Bloquear Efecto
$Locking2		Bloquear Efecto
$Mode				Modo
$Mode_:_		Modo : 
$Mode_=				Modo =
$Mode_Discover			Descubrir
$Mode_Discover_But		Aunque permiten que las aplicaciones envíen sus propias overlays
$Mode_Intro				Las funciones Intellikeys y IntelliSwitch será determinadas por
$Mode_One_Overlay		Sólo un Overlay
$Mode_Overlays			Overlays
$Mode_Presets			Switch Presets
$Mode_Warning_=			Ver mensajes modo de aviso =
$Mouse_Speed:		Velocidad Mouse:
$Mouse_Speed_=			Velocidad Mouse =
$Must_Attach_Overlay		En la pestaña Aplicaciones, especificó "Usar la overlay seleccionada abajo", para una aplicación, pero no adjuntó la overlay.  Haga clic en Aceptar para volver a la pestaña Aplicaciones.  Haga clic en Cancelar para eliminar la aplicación.
$Must_Supply_One_Overlay	En la pestaña Modo no se puede elegir Sólo una Overlay sin elegir además una overlay.  Por favor, elija una overlay, o seleccione un modo diferente.
$No						No
$No_Latching		&Sin efecto
$No_Latching2		Sin efecto
$None				ninguno
$Not_Connected		No conectado
$Not_Valid_Overlay	Ese no es un archivo de overlay válido. Por favor elija otro archivo. 
$Number_Of_Connected_Keyboards_=	Número de teclados conectados =
$Number_Of_Keys_Pressed_=	Número de teclas pulsadas =
$OK						Aceptar
$Off				Sin
$On					Encendido
$On_Off_Switch_:	Encender/Apagar Switch :
$On_or_Off_=			Encendido o Apagado =
$Overlay	Overlay
$Overlay_Details	Detalles de overlay
$Overlay_Find_Dialog_Title		Buscar Overlay
$Overlay_Find_Dialog_Prompt		Seleccionar overlay deseada
$Overlay_Level_:	Nivel de overlay :
$Overlay_Level_=		Nivel de overlay =
$Overlay_Location	Ruta de Overlay: 
$Overlay_Missing	No se pudo encontrar el archivo de overlay seleccionado.  Puede que haya sido eliminado o movido después de que se adjuntó. 
