
$Touch_Features		Сенсорные возможности
$Keysound_Volume	Громкость звука клавиш
$Repeat_Features	Функция повтора
$Additional_Features	Дополнительные возможности
$Indicator_Lights	Действие клавиши Shift
$Testing		Тестирование
$StandardOverlayNote	ВНИМАНИЕ: При вводе Стандартной накладки она вступает в действие, отменяя действие ранее выбранной накладки.
$Volume:		Громкость:
$Response_Rate:		Скорость реакции:
$Mouse_Speed:		Скорость мыши:
$Repeat_Rate:		Частота повтора:
$Firmware_Version_:	Версия системы :
$Software_Version_:	Версия программы :
$On/Off_Switch_:	Ключ Вкл/Выкл :
$Connected_:		Подключено :
$Serial_Number_:	Серийный номер :
$Standard_Overlay_In_Place_:	Вставленная Стандартная накладка :
$Last_Sent_Overlay_:	Загруженная накл. :
$Overlay_Level_:	Слой накладки :
$Language_:		Язык :
$Mode_:_		Режим : 
$Connected		Подключено
$Not_Connected		Не подключено
$Switched_On		Ключ на Вкл
$Switched_Off		Ключ на Выкл
On			Вкл
Off			Выкл
$Switch_1_:		Ключ 1 : 
$Switch_2_:		Ключ 2 : 
$Switch_3_:		Ключ 3 : 
$Switch_4_:		Ключ 4 : 
$Switch_5_:		Ключ 5 : 
$Pad_:			: Pad
$Group:			Группа:
$User:			Имя:
$Edit_Groups_and_Users	&Редактировать...
$Keyboard_Reset		&Перезагрузить
$Help...		&Справка...
$Visit_Our_Website	&Web-сайт
$Done			&Готово
$Clear			С&тереть
$Required_Lift_Off	Отр&ывистое нажатие
$Repeat			По&втор
$Repeat_Latching	За&крепление повтора
$Smart_Typing		&Умная печать
$Latching		На&жатие
$Latching2		Нажатие
$Locking		&Закрепление
$Locking2		Закрепление
$No_Latching		&Не нажимать
$No_Latching2		Не нажимать
$Touch_Features.tabTitle		С&енсорные возможности
$Advanced		&Дополнительно
$Troubleshooting	Подс&казки


$Browse...		&Обзор...
$Display_Features...	Пок&азать настройки...
!Root_Folder_Does_Not_Exist	Корневая папка не установлена.  Проверьте установку программы.
!Users_Folder_Does_Not_Exist	Папка пользователей на установлена.  Проверьте установку программы.
!Group_Folder_Inaccessible	Не могу определить группы и пользователей.  Возможно, корневая папка недоступна.
!Keyboard_Software_Not_Responding	Программное обеспечение USB-клавиатуры не отвечает.  Возможно, оно не запущено или занято.  Убедитесь, что программа запущена, и повторите изменение настроек.
!Unsupported_USB_Keyboard_Message	Программа Intellikeys USB получила неподдерживаемое сообщение : ID = 
$Use_Intellikeys...		Если накладка не стандартная, то IntelliKeys используется...
$Device_Status		Статус устройства
!Unable_to_save_the_settings	Не могу сохранить файл настроек этого пользователя.
!Unable_to_load_the_settings	Не могу загрузить файл настроек этого пользователя.
!Unable_to_locate_preferences	Не могу определить файл preferences в папке private.
!Unable_to_save_preferences	Не могу записать файл preferences.
!Cannot_Add_To_Guest_Group	Вы не можете добавлять пользователя в группу Guest.
!The_User			Пользователь '
