$Touch_Features		Touch Features
$Keysound_Volume	Keysound Volume
$Repeat_Features	Repeat Features
$Additional_Features	Additional Features
$Indicator_Lights	Shift Key Action
$Testing		Testing
$StandardOverlayNote	NOTE: Whenever a Standard Overlay is inserted, it will take effect and override any overlay chosen above.
$Volume:		Volume:
$Response_Rate:		Response Rate:
$Mouse_Speed:		Mouse Speed:
$Repeat_Rate:		Repeat Rate:
$Firmware_Version_:	Firmware Version :
$Software_Version_:	Software Version :
$On/Off_Switch_:	On/Off Switch :
$Connected_:		Connected :
$Serial_Number_:	Serial Number :
$Standard_Overlay_In_Place_:	Standard Overlay In Place :
$Last_Sent_Overlay_:	Last Sent Overlay :
$Overlay_Level_:	Overlay Level :
$Language_:		Language :
$Mode_:_		Mode : 
$Connected		Connected
$Not_Connected		Not Connected
$Switched_On		Switched On
$Switched_Off		Switched Off
On			On
Off			Off
$Switch_1_:		Switch 1 : 
$Switch_2_:		Switch 2 : 
$Switch_3_:		Switch 3 : 
$Switch_4_:		Switch 4 : 
$Switch_5_:		Switch 5 : 
$Pad_:			: Pad
$Group:			Group:
$User:			User:
$Edit_Groups_and_Users	&Edit Groups and Users...
$Keyboard_Reset		&Keyboard Reset
$Help...		&Help...
$Visit_Our_Website	&Visit Our Website
$Done			&Done
$Clear			&Clear
$Required_Lift_Off	&Required Lift Off
$Repeat			Re&peat
$Repeat_Latching	Repeat &Latching
$Smart_Typing		&Smart Typing
$Latching		Latch&ing
$Latching2		Latching
$Locking		L&ocking
$Locking2		Locking
$No_Latching		&No Latching
$No_Latching2		No Latching
$Touch_Features.tabTitle		Touch &Features
$Advanced		&Advanced
$Troubleshooting	Tro&ubleshooting


$Browse...		&Browse...
$Display_Features...	D&isplay Features...
!Root_Folder_Does_Not_Exist	The root folder does not exists.  Please check your installation.
!Users_Folder_Does_Not_Exist	The users folder does not exists.  Please check your installation.
!Group_Folder_Inaccessible	Unable to scan the groups and users.  The root folder may be inaccessible.
!Keyboard_Software_Not_Responding	The USB Keyboard software is not responding.  It may not be running, or it may be busy.  Check to see that the software is running, then try changing the setting again.
!Unsupported_USB_Keyboard_Message	Intellikeys USB Software received an unsupported message : ID = 
$Use_Intellikeys...		When not using a Standard overlay, use IntelliKeys...
$Device_Status		Device Status
!Unable_to_save_the_settings	Unable to save the settings file for this user.
!Unable_to_load_the_settings	Unable to load the settings file for this user.
!Unable_to_locate_preferences	Unable to locate the preferences file in the private folder.
!Unable_to_save_preferences	Unable to write the preferences file.
!Cannot_Add_To_Guest_Group	You cannot add users to the Guest group.
!The_User			The user '
!Could_not_be_added		' could not be added.  The file location may not be accessible.
!Can't_read_group_folder	Can't create group folder or scan user folders for the group :
!Can't_rename_group_folder	Unable to rename group folder to : 
!User_already_exists		There is already a user of that name.  Please choose another name.
!Group_already_exists		There is already a group of that name.  Please choose another name.
!Can't_add_group_folder		Unable to add the group named '
!Can't_add_group_folder		'.  The folder may not be accessible.
!Can't_scan_group_folders	Unable to scan for group folders.  They may be inaccessible.
!Group_is_not_empty		The group cannot be removed because it is not empty.  Please delete all users before deleting the group.
!Keyboard_not_reset		The keyboard was not reset.  Try again.
!Can't_locate_student_folder	Could not locate the student's folder.  Using Guest settings.
$Device:				Device:
$Data_Send_Rate:		Data Send Rate:
$IntelliKeys_USB		IntelliKeys USB
$Groups_and_Users		Groups and Users
$Groups					Groups
$Users					Users
$Group_Name				Group Name
$Group_Name:			Group Name:
$OK						OK
$Cancel					Cancel
$User_Name				User Name
$User_Name:				User Name:
$Yes					Yes
$No						No
$group_New...					&New...
$group_Delete					&Delete
$group_Rename...				&Rename...
