$Touch_Features		Regolazioni del tocco 
$Keysound_Volume	Volume acustico
$Repeat_Features	Regolazioni della ripetizione
$Additional_Features	Altre regolazioni
$Indicator_Lights	Attivazione tasti doppia funzione
$Testing		Prova
$StandardOverlayNote	NOTA: ogni volta che viene inserito un Overlay standard, questo diventa attivo e sostituisce l'overlay precedente.
$Volume:		Volume :
$Response_Rate:		Soglia :
$Mouse_Speed:		Regolazione mouse :
$Repeat_Rate:		Velocità di ripetizione :
$Firmware_Version_:	Versione Firmware :
$Software_Version_:	Versione Software :
$On/Off_Switch_:	Interruttore :
$Connected_:		Tastiera Collegata :
$Serial_Number_:	Numero di serie :
$Standard_Overlay_In_Place_:	Overlay Standard inserito :
$Last_Sent_Overlay_:	Ultimo Overlay inviato:
$Overlay_Level_:	Livello Overlay :
$Language_:		Lingua :
$Mode_:_		Modalità : 
$Connected		Connessa
$Not_Connected		Non Connessa
$Switched_On		Accesa
$Switched_Off		Spenta
On			Accesa
Off			Spenta
$Switch_1_:		Sensore 1 : 
$Switch_2_:		Sensore 2 : 
$Switch_3_:		Sensore 3 : 
$Switch_4_:		Sensore 4 : 
$Switch_5_:		Sensore 5 : 
$Pad_:			: Tastiera
$Group:			Gruppo:
$User:			Utente:
$Edit_Groups_and_Users	&Gruppi e utenti...
$Keyboard_Reset		&Reset 
$Help...		&Aiuto...
$Visit_Our_Website	&Visita il nostro sito Web...
$Done			&Fatto
$Clear			&Annulla
$Required_Lift_Off	Sol&levamento
$Repeat			Ri&petizione
$Repeat_Latching	Ripeti&zione controllata
$Smart_Typing		&Scrittura Veloce
$Latching		Tempora&nea
$Latching2		Temporanea
$Locking		Bl&occabile
$Locking2		Bloccabile
$No_Latching		&Normale
$No_Latching2		Normale
$Touch_Features.tabTitle		Impostazioni &Tastiera
$Advanced		Avanzat&e
$Troubleshooting	Soluzione dei &problemi


$Browse...		&Cerca...
$Display_Features...	Lista &Valori...
!Root_Folder_Does_Not_Exist	La cartella principale non esiste.  Verificare che l'installazione sia corretta.
!Users_Folder_Does_Not_Exist	La cartella utente non esiste.  Verificare che l'installazione sia corretta.
!Group_Folder_Inaccessible	Impossibile accedere a Gruppi e Utenti.  La cartella principale potrebbe essere inaccessibile.
!Keyboard_Software_Not_Responding	Il programma della tastiera USB non risponde: può essersi interrotto o può essere bloccato.  Verificare che il programma sia in esecuzione, poi riprovare a cambiare le impostazioni.
!Unsupported_USB_Keyboard_Message	Il programma di Intellikeys USB ha ricevuto un messaggio non codificato con codice : ID = 
$Use_Intellikeys...		Quando non c'è montato un Overlay Standard , usa IntelliKeys...
$Device_Status		Stato
!Unable_to_save_the_settings	Impossibile salvare il file di impostazioni per questo utente.
!Unable_to_load_the_settings	Impossibile caricare il file di impostazioni per questo utente.
!Unable_to_locate_preferences	Impossibile trovare il file delle preferenze nella cartella privata.
!Unable_to_save_preferences	Impossibile salvare il file delle preferenze.
!Cannot_Add_To_Guest_Group	Non è possibile aggiungere utenti al gruppo Ospite.
!The_User			L'utente '
!Could_not_be_added		' non può essere aggiunto.  Il file potrebbe non essere accessibile.
!Can't_read_group_folder	Impossibile creare la cartella gruppo o visualizzare le cartelle utenti per il gruppo :
!Can't_rename_group_folder	Impossibile rinominare la cartella del gruppo in : 
!User_already_exists		Esiste già un utente con questo nome.  Scegliere un nome diverso.
!Group_already_exists		Esiste già un gruppo con questo nome.  Scegliere un nome diverso.
