!Cannot_Add_Group_Folder2		'.  The folder may not be accessible.
!Cannot_Add_Group_Folder		Unable to add the group named '
!Cannot_Locate_Student_Folder	Could not locate the student's folder.  Using Guest settings.
!Cannot_Read_Group_Folder	Can't create group folder or scan user folders for the group :
!Cannot_Rename_Group_Folder	Unable to rename group folder to : 
!Cannot_Scan_Group_Folders	Unable to scan for group folders.  They may be inaccessible.
!Cannot_Add_To_Guest_Group	You cannot add users to the Guest group.
!Could_Not_Be_Added		' could not be added.  The file location may not be accessible.
!Group_Folder_Inaccessible	Unable to scan the groups and users.  The root folder may be inaccessible.
!Group_Already_Exists		There is already a group of that name.  Please choose another name.
!Group_Is_Not_Empty		The group cannot be removed because it is not empty.  Please delete all users before deleting the group.
!Keyboard_Software_Not_Responding	The USB Keyboard software is not responding.  It may not be running, or it may be busy.  Check to see that the software is running, then try changing the setting again.
!Keyboard_Not_Reset		The keyboard was not reset.  Try again.
!Root_Folder_Does_Not_Exist	The root folder does not exists.  Please check your installation.
!The_User			The user '
!Unable_To_Load_Applications	Unable to load the applications for this user.
!Unable_To_Load_The_Settings	Unable to load the settings file for this user.
!Unable_To_Locate_Preferences	Unable to locate the preferences file in the private folder.
!Unable_To_Save_Preferences	Unable to write the preferences file.
!Unable_To_Save_The_Settings	Unable to save the settings file for this user.
!Unsupported_USB_Keyboard_Message	Intellikeys USB Software received an unsupported message : ID = 
!User_Already_Exists		There is already a user of that name.  Please choose another name.
!Users_Folder_Does_Not_Exist	The users folder does not exists.  Please check your installation.
$1				1
$2				2
$3				3
$4				4
$Add			Add... 
$Additional_Features	Additional Features
$Advanced		&Advanced
$All_Intellikeys_Overlays	All Intellikeys Overlays
$All_Files					All Files
$App_Not_Allowed	You cannot attach overlays to this application from the IntelliKeys USB Control Panel as the application is designed to send its own overlays. Consult this application's User's Guide about attaching overlays.
$App_Not_Found	not found
$App_Tab_Unavailable_Body	The Applications tab is not available in this version.
$App_Tab_Unavailable_Title	Feature Unavailable
$Application	Application
$Application_Details	Application Details
$Application_Find_Dialog_Title		Find Application
$Application_Find_Dialog_Prompt		Select desired application
$Applications		Applications 
$Available_Applications_Form_Title	Available Applications
$Attach			Attach... 
$Browse			Browse... 
$Browse...		&Browse...
$Browse_For_Application_Dialog_Title	Locate Application 
$Browse_For_Application_Dialog_Prompt	Select desired Application 
$Cancel					Cancel
$Cannot_Edit_Overlay	You cannot edit this file because it is a content-only or group overlay.  
$Choose			Choose...  
$Choose_App_Header	Choose an Application. 
$Clear			&Clear
$Column_=			Column =
$Confirm_Delete			Confirm Delete
$Connected		Connected
$Connected_:		Connected :
$Custom	  ;  the following are for the Applications tab.			  
$Data_Send_Rate:		Data Send Rate:
$Data_Send_Rate_=		Data Send Rate =
$Delete_Empty_Group		Delete Empty Group?
$Detach			Detach 
$Device:				Device:
$Device_Status		Device Status
$DiscoverNameMac		Discover Envoy
$DiscoverNameWin		DiscoverPro
$Display_Features...	D&isplay Features...
$Display_Latching		Latching
$Display_Locking		Locking
$Display_No_Latching		No Latching
$Done			&Done
$Edit			Edit... 
$Edit_Groups_And_Users	&Edit Groups and Users...
$Edit_Template_Overlay	This file is an overlay template.  You will be editing a copy of the file, and will need to attach the file after you save it.  
$False			False
$Find		Find...  
$Firmware_Version_:	Firmware Version :
$Firmware_Version_=		Firmware Version =
$Group:			Group:
$Group_Delete					&Delete
$Group_Must_Be_Empty		The group must be empty before it can be removed.  Please delete all users in this group before deleting the group.
$Group_Name				Group Name
$Group_Name:			Group Name:
$Group_New...					&New...
$Group_Rename...				&Rename...
$Groups					Groups
$Groups_and_Users		Groups and Users
$Guest				Guest
$Has_these_overlays	... the Control Panel will ... 
$Help...		&Help...
$IKOff		IntelliKeys Off  
$IKOn		IntelliKeys On 
$ISOff		IntelliSwitch Off  
$ISOn		IntelliSwitch On 
$In_Group			in group
$Indicator_Lights	Shift Key Action
$Indicator_Lights_=		Indicator Lights =
$IntelliKeys_USB		IntelliKeys USB
$IntelliKeys_USB_Features_For_User	IntelliKeys USB features for user
$IntelliKeys_USB_Window_Title	IntelliKeys USB Control Panel 
$IntelliKeys_USB_Window_Title2	IntelliKeys USB and IntelliSwitch Control Panel 
$IntelliSwitchFeaturesNotice	NOTE: IntelliSwitch users can adjust Repeat Rate, Repeat On/Off, Mouse Speed, Key Sound Volume, and Data Send Rate. 
$Invalid_Preference		Invalid value for user preference. Using
$Is_Empty_Delete		is empty.  Do you wish to delete this group?
$Is_Located	is located at path
$Keyboard_Number_=		Keyboard Number =
$Keyboard_Reset		&Keyboard Reset
$Keysound_Volume	Keysound Volume
$Keysound_Volume_=		Keysound Volume =
$Language_:		Language :
$Last_Saved_Group_Missing	The last saved group does not exist.  Using
$Last_Saved_User_Missing	The last saved user does not exist.  Using
$Last_Sent			last sent
$Last_Sent_Note		Note: Use the Applications tab to attach overlays to applications  
$Last_Sent_Overlay_:	Last Sent Overlay :
$Last_Sent_Overlay_=		Last Sent Overlay =
$Latching		Latch&ing
$Latching2		Latching
$Locking		L&ocking
$Locking2		Locking
$Mode				Mode
$Mode_:_		Mode : 
$Mode_=				Mode =
$Mode_Discover			Discover
$Mode_Discover_But		But still allow applications to send their own overlays
$Mode_Intro				IntelliKeys and IntelliSwitch functions will be determined by
$Mode_One_Overlay		One Overlay Only
$Mode_Overlays			Overlays
$Mode_Presets			Switch Presets
$Mode_Warning_=			Show mode warning message =
$Mouse_Speed:		Mouse Speed:
$Mouse_Speed_=			Mouse Speed =
$Must_Attach_Overlay		On the Applications tab, you specified "Use the overlay selected below", for an application, but did not attach an overlay.  Click OK to return to the Applications tab.  Click Cancel to remove the application.
$Must_Supply_One_Overlay	On the Mode tab, you cannot choose One Overlay Only without also choosing an overlay.  Please choose an overlay now, or select a different mode.
$No						No
$No_Latching		&No Latching
$No_Latching2		No Latching
$None				none
$Not_Connected		Not Connected
$Not_Valid_Overlay	That is not a valid overlay file. Please choose another file. 
$Number_Of_Connected_Keyboards_=	Number of connected keyboards =
$Number_Of_Keys_Pressed_=	Number of keys pressed =
$OK						OK
$Off				Off
$On					On
$On_Off_Switch_:	On/Off Switch :
$On_or_Off_=			On or Off =
$Overlay	Overlay
$Overlay_Details	Overlay Details
$Overlay_Find_Dialog_Title		Locate Overlay
$Overlay_Find_Dialog_Prompt		Select desired overlay
$Overlay_Level_:	Overlay Level :
$Overlay_Level_=		Overlay Level =
$Overlay_Location	Overlay Path: 
$Overlay_Missing	The selected overlay file could not be found.  It may have been deleted or moved after it was attached. 
$Overlay_Name_=			Overlay Name =
$Overlay_Sending_Disabled	Sending disabled, check Mode tab
$Pad_:			: Pad
$Program_Files		Program Files 
$Programs		Applications 
$Radio_Attached		The Control Panel will send the overlay selected below: 
$Radio_None		The Control Panel will not send an overlay
$Remove			Remove 
$Removing_App_Body	The Application you selected is designed to send its own overlays.  You cannot attach overlays to it using the IntelliKeys USB Control Panel, so it will now be removed from the list.  Consult the application's User's Guide about attaching overlays.
$Removing_App_Title	Removing Application
$Repeat			Re&peat
$Repeat_Features	Repeat Features
$Repeat_Latching	Repeat &Latching
$Repeat_Latching_Is		Repeat Latching is
$Repeat_Rate:		Repeat Rate:
$Repeat_Rate_=			Repeat Rate =
$Repeat_Is			Repeat is
$Required_Lift_Off	&Required Lift Off
$Required_Lift_Off_Is		Required Lift Off is
$Response_Rate:		Response Rate:
$Response_Rate_=		Response Rate =
$Row_=				Row =
$Sensor_Values_:_		Sensor Values : 
$Sensor_Values_=		Sensor Values =
$Sent_By:			Sent by : 
$Sent_By_	Sent By:
$Sent_By_=		Sent By = 
$Serial_Number_:	Serial Number :
$Serial_Number_=		Serial Number
$Shift_Key_Action_=		Shift Key Action =
$Show_Mode_Warning	Show warning when overlay cannot be sent
$Six				Six
$Smart_Typing		&Smart Typing
$Smart_Typing_Is		Smart Typing is
$Software_Version_:	Software Version :
$Software_Version_=		Software Version =
