!Cannot_Add_Group_Folder2		'.  A pasta pode não estar acessível.
!Cannot_Add_Group_Folder		Impossível adicionar o grupo chamado '
!Cannot_Locate_Student_Folder	Não foi possível localizar a pasta do aluno.  Uso de configurações de convidado.
!Cannot_Read_Group_Folder	Não foi possível criar pasta de grupo ou pesquisar pastas do usuário para o grupo :
!Cannot_Rename_Group_Folder	Impossível renomear pasta de grupo para : 
!Cannot_Scan_Group_Folders	Impossível pesquisar pastas de grupo.  Elas podem estar inacessíveis.
!Cannot_Add_To_Guest_Group	Não é possível adicionar usuários ao grupo Convidado.
!Could_Not_Be_Added		Não foi possível adicionar '.  O local do arquivo pode não estar acessível.
!Group_Folder_Inaccessible	Impossível pesquisar os grupos e usuários.  A pasta raiz pode estar inacessível.
!Group_Already_Exists		Já existe um grupo com esse nome.  Escolha outro nome.
!Group_Is_Not_Empty		O grupo não pode ser removido porque não está vazio.  Exclua todos os usuários antes de excluir o grupo.
!Keyboard_Software_Not_Responding	O software Teclado USB não está respondendo.  Ele pode não estar sendo executado ou pode estar ocupado.  Verifique se o software está sendo executado, depois tente alterar a configuração novamente.
!Keyboard_Not_Reset		O teclado não foi reinicializado.  Tente novamente.
!Root_Folder_Does_Not_Exist	A pasta raiz não existe.  Verifique a sua instalação.
!The_User			O usuário '
!Unable_To_Load_Applications	Impossível carregar os aplicativos para este usuário.
!Unable_To_Load_The_Settings	Impossível carregar o arquivo de configurações para este usuário.
!Unable_To_Locate_Preferences	Impossível localizar o arquivo de preferências na pasta privada.
!Unable_To_Save_Preferences	Impossível gravar no arquivo de preferências.
!Unable_To_Save_The_Settings	Impossível salvar o arquivo de configurações para este usuário.
!Unsupported_USB_Keyboard_Message	O software Intellikeys USB recebeu uma mensagem sem suporte : ID = 
!User_Already_Exists		Já existe um usuário com esse nome.  Escolha outro nome.
!Users_Folder_Does_Not_Exist	A pasta usuários não existe.  Verifique a sua instalação.
$1				1
$2				2
$3				3
$4				4
$Add			Adicionar… 
$Additional_Features	Configurações Adicionais
$Advanced		&Avançado
$App_Not_Allowed	Não é possível anexar sobreposições a este aplicativo pelo painel de controle do IntelliKeys USB, pois o aplicativo foi desenvolvido para enviar suas próprias sobreposições. Consulte o guia do usuário deste aplicativo com relação à anexação de sobreposições.
$App_Not_Found	não encontrado
$App_Tab_Unavailable_Body	A guia Aplicativos não está disponível nesta versão.
$App_Tab_Unavailable_Title	Recurso indisponível
$Application	Aplicativo
$Application_Details	Detalhes do aplicativo
$Application_Find_Dialog_Title		Encontrar aplicativo
$Application_Find_Dialog_Prompt		Selecionar aplicativo desejado
$Applications		Aplicativos 
$Available_Applications_Form_Title	Aplicativos disponíveis
$Attach			Anexar... 
$Browse			Pesquisar... 
$Browse...		&Pesquisar...
$Browse_For_Application_Dialog_Title	Localizar aplicativo 
$Browse_For_Application_Dialog_Prompt	Selecionar aplicativo desejado 
$Cancel					Cancelar
$Cannot_Edit_Overlay	Não é possível editar este arquivo porque é somente conteúdo ou sobreposição de grupo.  
$Choose			Escolher…  
$Choose_App_Header	Escolha um aplicativo. 
$Clear			&Limpar
$Column_=			Coluna =
$Confirm_Delete			Confirmar exclusão
$Connected		Conectado
$Connected_:		Conectado :
$Custom	  ;  os seguintes são para a guia Aplicativos.			  
$Data_Send_Rate:		Velocidade de Transmissão:
$Data_Send_Rate_=		Velocidade de Transmissão =
$Delete_Empty_Group		Excluir grupo vazio?
$Detach			Destacar 
$Device:				Dispositivo:
$Device_Status		Status do dispositivo
$DiscoverNameMac		Descobrir emissário
$DiscoverNameWin		DiscoverPro
$Display_Features...	Mostrar Configurações
$Display_Latching		Fechamento
$Display_Locking		Travamento
$Display_No_Latching		Sem fechamento
$Done			&Concluído
$Edit			Editar... 
$Edit_Groups_And_Users	&Editar grupos e usuários...
$Edit_Template_Overlay	Este arquivo é um modelo de sobreposição.  Você editará uma cópia do arquivo e precisará anexar o arquivo depois de salvá-lo.  
$False			Falso
$Find		Encontrar...  
$Firmware_Version_:	Versão do firmware :
$Firmware_Version_=		Versão do firmware =
$Group:			Grupo:
$Group_Delete					&Excluir
$Group_Must_Be_Empty		O grupo deve estar vazio antes de ser removido.  Exclua todos os usuários neste grupo antes de excluir o grupo.
$Group_Name				Nome do grupo
$Group_Name:			Nome do grupo:
$Group_New...					&Novo...
$Group_Rename...				&Renomear...
$Groups					Grupos
$Groups_and_Users		Grupos e usuários
$Guest				Convidado
$Has_these_overlays	... o Painel de controle irá… 
$Help...		&Ajuda...
$IKOff		IntelliKeys desligado  
$IKOn		IntelliKeys ligado 
$ISOff		IntelliSwitch desligado  
$ISOn		IntelliSwitch ligado 
$In_Group			no grupo
$Indicator_Lights	Teclas Modificadoras
$Indicator_Lights_=		Luzes do indicador =
$IntelliKeys_USB		IntelliKeys USB
$IntelliKeys_USB_Features_For_User	Recursos de IntelliKeys USB para usuário
$IntelliKeys_USB_Window_Title	Painel de controle do IntelliKeys USB 
$IntelliKeys_USB_Window_Title2	Painel de controle do IntelliKeys USB e do IntelliSwitch 
$IntelliSwitchFeaturesNotice	OBSERVAÇÃO: Usuários do IntelliSwitch podem ajustar taxa de repetição, ligar/desligar repetição, volume do som da tecla e taxa de envio de dados. 
$Invalid_Preference		Valor inválido para preferência do usuário. Usando
$Is_Empty_Delete		está vazio.  Você deseja excluir este grupo?
$Is_Located	está localizado no caminho
$Keyboard_Number_=		Número do teclado =
$Keyboard_Reset		Rei&niciar o teclado
$Keysound_Volume	Volume de Tecla Sonora
$Keysound_Volume_=		Volume de Tecla Sonora =
$Language_:		Idioma :
$Last_Saved_Group_Missing	O último grupo salvo não existe.  Usando
$Last_Saved_User_Missing	O último usuário salvo não existe.  Usando
$Last_Sent			último enviado
$Last_Sent_Note		Observação: Use a guia Aplicativos para anexar sobreposições a aplicativos  
$Last_Sent_Overlay_:	Última sobreposição enviada :
$Last_Sent_Overlay_=		Última sobreposição enviada =
$Latching		Prender
$Latching2		Prender
$Locking		Bloquear
$Locking2		Bloquear
$Mode				Modo
$Mode_:_		Modo : 
$Mode_=				Modo =
$Mode_Discover			Descobrir
$Mode_Discover_But		Mas ainda permitir que aplicativos enviem suas próprias sobreposições
$Mode_Intro				As funções IntelliKeys e IntelliSwitch serão determinadas por
$Mode_One_Overlay		Somente uma sobreposição
$Mode_Overlays			Sobreposições
$Mode_Presets			Predefinições de chave
$Mode_Warning_=			Exibir mensagem de aviso de modo =
$Mouse_Speed:		Velocidade do Rato:
$Mouse_Speed_=			Velocidade do Rato =
$Must_Attach_Overlay		Na guia Aplicativos, você especificou "Usar a sobreposição selecionada abaixo" para um aplicativo, mas não anexou uma sobreposição.  Clique em OK para voltar à guia Aplicativos.  Clique em Cancelar para remover o aplicativo.
$Must_Supply_One_Overlay	Na guia Modo, não é possível escolher Somente uma sobreposição sem também escolher uma sobreposição.  Escolha uma sobreposição agora ou selecione um modo diferente.
$No						Não
$No_Latching		Normal
$No_Latching2		Normal
$None				nenhum
$Not_Connected		Não conectado
$Not_Valid_Overlay	Esse arquivo não é uma sobreposição válida. Escolha outro arquivo. 
$Number_Of_Connected_Keyboards_=	Número de teclados conectados =
$Number_Of_Keys_Pressed_=	Número de teclas pressionadas =
$OK						OK
$Off				0
$On					Ligado
$On_Off_Switch_:	Chave liga/desliga :
$On_or_Off_=			Ligado ou desligado =
$Overlay	Sobreposição
$Overlay_Details	Detalhes da sobreposição
$Overlay_Find_Dialog_Title		Localizar sobreposição
$Overlay_Find_Dialog_Prompt		Selecionar sobreposição desejada
$Overlay_Level_:	Nível da sobreposição :
$Overlay_Level_=		Nível da sobreposição =
$Overlay_Location	Caminho da sobreposição: 
$Overlay_Missing	Não foi possível encontrar o arquivo de sobreposição selecionado.  Pode ter sido excluído ou movido depois de ser anexado. 
$Overlay_Name_=			Nome da sobreposição =
$Overlay_Sending_Disabled	Envio desabilitado, verifique a guia Modo
$Pad_:			: Bloco
$Program_Files		Arquivos de programa 
