
AOL%20Instant%20Messenger%20(SM)	AOL Instant Messenger
Inspiration%207.6		Inspiration 7.6
Inspiration%208		Inspiration 8
Kidspiration%202		Kidspiration
iTunes			iTunes
Safari			Safari
Kurzweil%203000		Kurzweil 3000
Microsoft%20Office%20X:Microsoft%20PowerPoint	Microsoft PowerPoint X
Microsoft%20Office%20X:Microsoft%20Word	Microsoft Word X
Microsoft%20Office%202004:Microsoft%20PowerPoint	Microsoft PowerPoint 2004
Microsoft%20Office%202004:Microsoft%20Word	Microsoft Word 2004
CoWriter%20SE	CO:Writer
WOL	WRITE:Outloud
